School Year,County,Institution ID,BEDS Code,School Name,Affliation,PreK,HalfK,FullK,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,HS
2019-20,NEW YORK,800000088144,310200996243,WINDWARD SCHOOL (THE) - NYC,INDEPENDENT,0,0,0,8,21,33,45,52,61,0,61,62,0,0,0,0,0
2019-20,NEW YORK,800000088605,310200996262,PORTFOLIO SCHOOL,INDEPENDENT,0,0,5,4,5,5,5,2,3,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000089283,310200996278,MARYEL SCHOOL OF NEW YORK,INDEPENDENT,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000089675,310200996306,INTERNATIONAL ACADEMY OF NEW YORK,INDEPENDENT,8,0,9,8,7,6,3,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000089701,310200996309,WETHERBY-PEMBRIDGE SCHOOL (THE),INDEPENDENT,11,0,13,6,17,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000089937,310200996323,HORACE MANN SCHOOL NURSERY-KINDERGA,INDEPENDENT,52,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000090325,310200996364,IDEAL SCHOOL OF MANHATTAN - UPPER,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,16,17,12,12,12,8,44
2019-20,NEW YORK,800000090625,310200996427,WEGROW NYC,INDEPENDENT,18,0,10,12,5,10,5,12,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000090882,310200996449,ALTSCHOOL 11 - UNION SQUARE CAMPUS,INDEPENDENT,0,0,0,0,0,0,0,0,1,0,10,3,0,0,0,0,0
2019-20,NEW YORK,800000091328,310200996469,DALTON SCHOOL (THE),INDEPENDENT,0,0,103,99,95,99,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000091512,310200996492,BRITISH INTERNATIONAL SCHOOL OF NY,INDEPENDENT,0,0,0,0,0,0,0,30,0,0,0,25,0,0,0,0,0
2019-20,NEW YORK,800000091513,310200996493,BRITISH INTERNATIONAL SCHOOL OF NY,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
2019-20,NEW YORK,800000091544,310200996496,GUIDEPOST MONTESSORI AT MUSEUM MILE,INDEPENDENT,10,0,0,7,2,0,1,1,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000091545,310200996497,TITUS SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047540,310200996739,BREARLEY SCHOOL (THE),INDEPENDENT,0,0,58,57,54,51,50,54,56,0,59,62,67,60,59,54,240
2019-20,NEW YORK,800000047559,310200996742,BROWNING SCHOOL (THE),INDEPENDENT,0,0,32,29,31,33,32,36,35,0,35,34,33,30,28,28,119
2019-20,NEW YORK,800000047560,310200996743,BUCKLEY SCHOOL,INDEPENDENT,0,0,48,43,44,39,41,38,40,0,35,37,9,0,0,0,9
2019-20,NEW YORK,800000047562,310200996749,CHAPIN SCHOOL (THE),INDEPENDENT,0,0,62,60,59,60,54,59,62,0,64,66,69,62,63,62,256
2019-20,NEW YORK,800000047563,310200996755,CITY & COUNTRY SCHOOL,INDEPENDENT,36,0,38,32,34,30,29,25,28,0,28,30,0,0,0,0,0
2019-20,NEW YORK,800000047541,310200996790,LORGE SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047542,310200996792,LYCEE FRANCAIS DE NY,INDEPENDENT,59,0,73,101,103,98,105,100,106,0,107,96,90,107,93,95,385
2019-20,NEW YORK,800000047543,310200996794,LYCEUM KENNEDY,INDEPENDENT,14,19,0,18,26,22,14,8,10,0,13,10,12,7,7,4,30
2019-20,NEW YORK,800000047544,310200996800,HEWITT SCHOOL (THE),INDEPENDENT,0,0,31,31,35,38,36,36,51,0,50,52,43,42,39,37,161
2019-20,NEW YORK,800000047546,310200996806,NIGHTINGALE BAMFORD SCHOOL,INDEPENDENT,0,0,48,46,46,45,47,44,55,0,49,54,58,55,69,53,235
2019-20,NEW YORK,800000047532,310200996817,RUDOLF STEINER SCHOOL,INDEPENDENT,19,8,29,19,14,24,17,19,22,0,19,16,22,21,20,24,87
2019-20,NEW YORK,800000047533,310200996823,ST DAVIDS SCHOOL,INDEPENDENT,16,0,62,48,51,45,45,44,44,0,40,39,0,0,0,0,0
2019-20,NEW YORK,800000047521,310200996830,SPENCE SCHOOL,INDEPENDENT,0,0,57,57,55,52,54,52,58,0,61,61,67,61,62,58,248
2019-20,NEW YORK,800000047523,310200996834,TOWN SCHOOL (THE),INDEPENDENT,18,0,33,44,42,43,41,38,39,0,35,34,0,0,0,0,0
2019-20,NEW YORK,800000047528,310200996836,U N INTERNATIONAL SCHOOL,INDEPENDENT,19,0,85,68,99,96,104,115,127,0,135,136,131,123,129,124,507
2019-20,NEW YORK,800000047525,310200997065,ALLEN-STEVENSON SCHOOL (THE),INDEPENDENT,0,0,49,46,47,45,49,46,47,0,44,37,0,0,0,0,0
2019-20,NEW YORK,800000034123,310200997115,LREI,INDEPENDENT,33,0,33,37,38,36,44,40,42,0,37,46,64,63,69,64,260
2019-20,NEW YORK,800000047526,310200997330,MANHATTAN COUNTRY SCHOOL,INDEPENDENT,32,0,39,40,37,37,37,21,20,0,23,20,0,0,0,0,0
2019-20,NEW YORK,800000047514,310200997637,CAEDMON SCHOOL (THE),INDEPENDENT,18,0,21,17,22,21,28,21,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047515,310200997686,BEEKMAN SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,1,14,15,23,19,71
2019-20,NEW YORK,800000047516,310200997700,FAMILY SCHOOL (THE),INDEPENDENT,103,2,18,3,8,3,4,1,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047517,310200997733,DALTON SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,90,97,98,0,99,97,114,118,111,108,451
2019-20,NEW YORK,800000047518,310200997740,CORLEARS SCHOOL,INDEPENDENT,21,0,19,13,17,14,8,14,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047502,310200997852,CHURCHILL SCHOOL AND CENTER (THE),INDEPENDENT,0,0,8,12,24,26,35,36,37,0,37,36,39,37,37,33,146
2019-20,NEW YORK,800000047506,310200997908,VILLAGE COMMUNITY SCHOOL,INDEPENDENT,0,0,44,46,34,39,38,36,33,0,34,35,0,0,0,0,0
2019-20,NEW YORK,800000047510,310200998057,CHILD SCHOOL (THE),INDEPENDENT,0,0,0,6,7,6,13,15,20,0,32,36,36,36,36,35,143
2019-20,NEW YORK,800000043073,310200998065,"BIRCH FAMILY SERVICES, INC",INDEPENDENT,568,0,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047498,310200998266,LA SCUOLA D'ITALIA-G MARCONI,INDEPENDENT,14,0,11,10,11,13,18,8,11,0,14,15,8,11,7,11,37
2019-20,NEW YORK,800000034176,310200998518,WINSTON PREPARATORY SCHOOL,INDEPENDENT,0,0,0,0,0,0,5,9,22,0,29,31,35,34,36,26,131
2019-20,NEW YORK,800000047264,310200998981,DE LA SALLE ACADEMY,INDEPENDENT,0,0,0,0,0,0,0,0,47,0,53,59,0,0,0,0,0
2019-20,NEW YORK,800000047492,310200999144,ALL SOULS SCHOOL,INDEPENDENT,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047493,310200999300,BIRCH WATHEN LENOX SCHOOL,INDEPENDENT,0,0,20,22,26,34,32,33,30,0,56,40,66,63,55,59,243
2019-20,NEW YORK,800000047478,310200999413,"UCP OF NYC, INC",INDEPENDENT,636,1,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
