School Name,School District,NYC,CSD,Borough,2019-20 Years of Operation,2019-20 Grades Served,Year Opened,Charter End Date,Authorizer
Urban Dove Team Charter School,NYC CSD 13,Yes,13,Brooklyn,8,"10,11,12,SE",2012,6/30/22,Board of Regents
Bold Charter School,NYC CSD 12,Yes,12,The Bronx,1,"0K,01",2019,-,Board of Regents
Bronx Lighthouse Charter School,NYC CSD 12,Yes,12,The Bronx,16,"0K,01,02,03,04,05,06,07,08,09,10,11,12",2004,6/30/22,NYC-DoE
Children's Aid College Prep Charter School,NYC CSD 12,Yes,12,The Bronx,8,"0K,01,02,03,04,05,06,07,08,SE",2012,7/31/22,SUNY BoT
Creo College Preparatory Charter School,NYC CSD 12,Yes,12,The Bronx,1,5,2019,-,Board of Regents
Dr. Richard Izquierdo Health and Science Charter School,NYC CSD 12,Yes,12,The Bronx,10,"06,07,08,09,10,11,12",2010,6/30/22,NYC-DoE
New Visions AIM II Charter High School,NYC CSD 12,Yes,12,The Bronx,8,"09,10,11,12",2012,7/31/22,SUNY BoT
New York Center for Autism Charter School Bronx,NYC CSD 12,Yes,12,The Bronx,3,"0K,01,02,03,04,SE",2017,7/31/22,SUNY BoT
South Bronx Classical Charter School,NYC CSD 12,Yes,12,The Bronx,14,"0K,01,02,03,04,05,06,07,08",2006,6/30/24,Board of Regents
Urban Assembly Charter School for Computer Science,NYC CSD 12,Yes,12,The Bronx,2,"09,10",2018,7/31/22,SUNY BoT
Urban Dove Team Charter School II,NYC CSD 12,Yes,12,The Bronx,2,"10,11",2018,6/30/23,Board of Regents
Bronx Charter School for Better Learning,NYC CSD 11,Yes,11,The Bronx,17,"PK,0K,01,02,03,04,05",2003,7/31/23,SUNY BoT
Bronx Charter School for Better Learning II,NYC CSD 11,Yes,11,The Bronx,5,"0K,01,02,03,04",2015,7/31/25,SUNY BoT
Bronx Charter School for Excellence,NYC CSD 11,Yes,11,The Bronx,16,"0K,01,02,03,04,05,06,07,08",2004,7/31/24,SUNY BoT
Bronx Charter School for Excellence 2,NYC CSD 11,Yes,11,The Bronx,4,"0K,01,02,03,04",2016,7/31/21,SUNY BoT
Bronx Charter School for Excellence 3,NYC CSD 11,Yes,11,The Bronx,3,"0K,01,02,03",2017,7/31/22,SUNY BoT
Bronx Charter School for Excellence 4,NYC CSD 11,Yes,11,The Bronx,2,"0K,01,02",2018,7/31/22,SUNY BoT
Equality Charter School,NYC CSD 11,Yes,11,The Bronx,11,"06,07,08,09,10,11,12,SE",2009,6/30/20,NYC-DoE
Icahn Charter School 2,NYC CSD 11,Yes,11,The Bronx,13,"0K,01,02,03,04,05,06,07,08",2007,7/31/22,SUNY BoT
Icahn Charter School 3,NYC CSD 11,Yes,11,The Bronx,12,"0K,01,02,03,04,05,06,07,08",2008,7/31/23,SUNY BoT
Icahn Charter School 4,NYC CSD 11,Yes,11,The Bronx,11,"0K,01,02,03,04,05,06,07,08",2009,7/31/24,SUNY BoT
Icahn Charter School 5,NYC CSD 11,Yes,11,The Bronx,9,"0K,01,02,03,04,05,06,07,08",2011,7/31/21,SUNY BoT
Amber Charter School II,NYC CSD 10,Yes,10,The Bronx,4,"0K,01,02,03,04",2016,7/31/21,SUNY BoT
Atmosphere Academy Public Charter School,NYC CSD 10,Yes,10,The Bronx,5,"06,07,08",2015,7/31/25,SUNY BoT
Bronx Arts and Sciences Charter School,NYC CSD 10,Yes,10,The Bronx,1,"0K,01,02",2019,-,Board of Regents
Bronx Charter School for Excellence 5,NYC CSD 10,Yes,10,The Bronx,1,"0K,01",2019,7/31/22,SUNY BoT
Bronx Community Charter School,NYC CSD 10,Yes,10,The Bronx,12,"0K,01,02,03,04,05,06,07,08",2008,6/30/20,NYC-DoE
Cardinal McCloskey Community Charter School,NYC CSD 10,Yes,10,The Bronx,1,"0K,01",2019,7/31/23,SUNY BoT
Charter High School for Law and Social Justice,NYC CSD 10,Yes,10,The Bronx,5,"09,10,11,SE",2015,6/30/20,Board of Regents
International Leadership Charter School,NYC CSD 10,Yes,10,The Bronx,14,"09,10,11,12",2006,6/30/20,SUNY BoT
KIPP All Charter School,NYC CSD 10,Yes,10,The Bronx,1,"05,06",2019,-,SUNY BoT
KIPP Elements Primary Charter School,NYC CSD 10,Yes,10,The Bronx,1,"0K,01",2019,-,SUNY BoT
KIPP Freedom Charter School,NYC CSD 10,Yes,10,The Bronx,2,"0K,05,06",2018,6/30/23,SUNY BoT
New Visions Charter High School for Advanced Math and Science,NYC CSD 10,Yes,10,The Bronx,9,"09,10,11,12,SE",2011,7/31/21,SUNY BoT
New Visions Charter High School for the Humanities,NYC CSD 10,Yes,10,The Bronx,9,"09,10,11,12,SE",2011,7/31/21,SUNY BoT
Girls Preparatory Charter School - New York,NYC CSD 1,Yes,1,Manhattan,15,"PK,0K,01,02,03,04,05,06,07,08,SE",2005,7/31/20,SUNY BoT
Great Oaks Charter School,NYC CSD 1,Yes,1,Manhattan,7,"06,07,08,09",2013,6/30/22,Board of Regents
Manhattan Charter School,NYC CSD 1,Yes,1,Manhattan,15,"0K,01,02,03,04,05",2005,6/30/24,SUNY BoT
Manhattan Charter School 2,NYC CSD 1,Yes,1,Manhattan,8,"0K,01,02,03,04,05",2012,7/31/22,SUNY BoT
